selected_class,Attribution method,Model training,Attack,DenseNet,ViT,Swin-ViT
Enlarged Cardiomediastinum,lrp,from scratch,In mask,0.848440408706665,0.5791559815406799,0.8962935209274292
Enlarged Cardiomediastinum,lrp,from scratch,Out mask,0.9005504846572876,0.5401101112365723,0.8846238255500793
Enlarged Cardiomediastinum,lrp,pretrained,In mask,0.8707523345947266,0.5655046105384827,0.8879632949829102
Enlarged Cardiomediastinum,lrp,pretrained,Out mask,0.8729541301727295,0.4796696901321411,0.8975412845611572
Enlarged Cardiomediastinum,gradient,from scratch,In mask,0.9191926121711732,0.8689907789230347,0.8662753105163574
Enlarged Cardiomediastinum,gradient,from scratch,Out mask,0.9018715620040894,0.8334679007530212,0.8581284880638123
Enlarged Cardiomediastinum,gradient,pretrained,In mask,0.932990789413452,0.8766972422599792,0.8950458765029907
Enlarged Cardiomediastinum,gradient,pretrained,Out mask,0.9069358110427856,0.84308260679245,0.8691375851631165
Enlarged Cardiomediastinum,integrated gradients,from scratch,In mask,0.8502752184867859,0.8617247939109802,0.9101650714874268
Enlarged Cardiomediastinum,integrated gradients,from scratch,Out mask,0.90510094165802,0.8485137224197388,0.8774678707122803
Enlarged Cardiomediastinum,integrated gradients,pretrained,In mask,0.9147890210151672,0.8664219975471497,0.8510825634002686
Enlarged Cardiomediastinum,integrated gradients,pretrained,Out mask,0.9219815731048584,0.855633020401001,0.8886605501174927
Enlarged Cardiomediastinum,smoothgrad,from scratch,In mask,0.6959999799728394,0.8350825905799866,0.9176880717277528
Enlarged Cardiomediastinum,smoothgrad,from scratch,Out mask,0.7453944683074951,0.8496880531311035,0.9045137166976928
Enlarged Cardiomediastinum,smoothgrad,pretrained,In mask,0.8963669538497925,0.8703852891921997,0.8681100606918335
Enlarged Cardiomediastinum,smoothgrad,pretrained,Out mask,0.8443302512168884,0.8455779552459717,0.8691375851631165
Cardiomegaly,lrp,from scratch,In mask,0.7780829071998596,0.6252657771110535,0.8528525829315186
Cardiomegaly,lrp,from scratch,Out mask,0.777197003364563,0.6267718076705933,0.8435506820678711
Cardiomegaly,lrp,pretrained,In mask,0.8434621095657349,0.6669914722442627,0.8084691166877747
Cardiomegaly,lrp,pretrained,Out mask,0.7886250615119934,0.48197197914123535,0.8501948714256287
Cardiomegaly,gradient,from scratch,In mask,0.8864280581474304,0.8266743421554565,0.8347803354263306
Cardiomegaly,gradient,from scratch,Out mask,0.8449680805206299,0.7706413269042969,0.8506377935409546
Cardiomegaly,gradient,pretrained,In mask,0.8272501230239868,0.7943834066390991,0.8306165933609009
Cardiomegaly,gradient,pretrained,Out mask,0.8524981737136841,0.7920800447463989,0.8464298248291016
Cardiomegaly,integrated gradients,from scratch,In mask,0.8692416548728943,0.8275159597396851,0.8441707491874695
Cardiomegaly,integrated gradients,from scratch,Out mask,0.7357370853424072,0.8095322251319885,0.8705705404281616
Cardiomegaly,integrated gradients,pretrained,In mask,0.7818922996520996,0.8137845993041992,0.8187456130981445
Cardiomegaly,integrated gradients,pretrained,Out mask,0.8150247931480408,0.7939404249191284,0.7972183227539062
Cardiomegaly,smoothgrad,from scratch,In mask,0.8350460529327393,0.833362877368927,0.8443480134010315
Cardiomegaly,smoothgrad,from scratch,Out mask,0.7504429817199707,0.7769312262535095,0.8450566530227661
Cardiomegaly,smoothgrad,pretrained,In mask,0.7638643383979797,0.8175938129425049,0.8402727842330933
Cardiomegaly,smoothgrad,pretrained,Out mask,0.8056342601776123,0.7870304584503174,0.8500176668167114
Lung Opacity,lrp,from scratch,In mask,0.7833627462387085,0.5881834030151367,0.83134925365448
Lung Opacity,lrp,from scratch,Out mask,0.7962228059768677,0.4249706268310547,0.857657253742218
Lung Opacity,lrp,pretrained,In mask,0.8361992835998535,0.5957892537117004,0.8019914627075195
Lung Opacity,lrp,pretrained,Out mask,0.8262786269187927,0.4539241790771485,0.8151087760925293
Lung Opacity,gradient,from scratch,In mask,0.8486918807029724,0.8477365970611572,0.8456054925918579
Lung Opacity,gradient,from scratch,Out mask,0.8517048358917236,0.7879188656806946,0.8148882389068604
Lung Opacity,gradient,pretrained,In mask,0.8693415522575378,0.8453482985496521,0.8162845373153687
Lung Opacity,gradient,pretrained,Out mask,0.8860229253768921,0.783656656742096,0.7784391045570374
Lung Opacity,integrated gradients,from scratch,In mask,0.8041593432426453,0.8434743881225586,0.8527336120605469
Lung Opacity,integrated gradients,from scratch,Out mask,0.3646384477615357,0.7871105074882507,0.8476631045341492
