mass_accuracy_diff,rank_accuracy_diff,in_mask_mass_accuracy,in_mask_rank_accuracy,out_mask_mass_accuracy,out_mask_rank_accuracy,model,xai_method,pretraining,label
0.06589999999999999,0.04519999999999999,0.2588,0.2633,0.1929,0.2181,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.04169999999999999,0.03519999999999998,0.1527,0.2123,0.1944,0.1771,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.0257,0.00010000000000000286,0.0604,0.0663,0.0347,0.0662,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.0169,0.11120000000000002,0.1784,0.2937,0.1615,0.1825,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.12249999999999998,0.1945,0.2138,0.2904,0.0913,0.0959,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.12080000000000002,0.031100000000000017,0.1945,0.3678,0.3153,0.3367,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.029099999999999987,0.07139999999999996,0.195,0.3455,0.2241,0.2741,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.30579999999999996,-0.024299999999999995,0.2085,0.0545,0.5143,0.0788,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.308,0.16799999999999998,0.317,0.2032,0.009,0.0352,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.22610000000000002,0.1661,0.2548,0.2205,0.0287,0.0544,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.1552,0.05259999999999998,0.4623,0.4128,0.3071,0.3602,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.1704,0.08240000000000001,0.5171,0.171,0.6875,0.0886,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.012799999999999999,0.002700000000000001,0.0087,0.0274,0.0215,0.0247,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.2,-0.16720000000000002,0.1174,0.1295,0.3174,0.2967,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.8037,-0.2267,0.0272,0.0534,0.8309,0.2801,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.1038,-0.07319999999999999,0.1265,0.0834,0.0227,0.1566,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.2731,-0.14,0.0185,0.0348,0.2916,0.1748,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.01999999999999999,-0.041799999999999976,0.1533,0.1463,0.1333,0.1881,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.1201,0.1378,0.122,0.1589,0.0019,0.0211,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.003500000000000003,-0.0091,0.0316,0.0209,0.0281,0.03,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.11729999999999999,0.016600000000000004,0.1924,0.3835,0.3097,0.3669,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.04700000000000004,0.05740000000000001,0.2875,0.3629,0.3345,0.3055,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.0897,-0.07840000000000003,0.1298,0.19,0.2195,0.2684,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.058599999999999985,0.012500000000000011,0.1287,0.1434,0.1873,0.1309,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.00180000000000001,0.0194,0.0927,0.1824,0.0909,0.163,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.34659999999999996,0.13999999999999999,0.3975,0.3574,0.7441,0.2174,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.1452,0.17049999999999998,0.2204,0.2933,0.0752,0.1228,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.17159999999999997,-0.069,0.2851,0.3702,0.4567,0.4392,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.05479999999999999,-0.06549999999999999,0.1043,0.0964,0.1591,0.1619,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.1846,0.17830000000000001,0.1981,0.2054,0.0135,0.0271,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.0175,0.0907,0.0949,0.192,0.0774,0.1013,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.2143,0.1478,0.3086,0.367,0.0943,0.2192,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.6385000000000001,-0.20400000000000001,0.1134,0.2834,0.7519,0.4874,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.2167,-0.13169999999999998,0.1223,0.2393,0.339,0.371,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.1461,-0.148,0.1714,0.1786,0.3175,0.3266,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.05410000000000001,0.028499999999999998,0.095,0.2231,0.1491,0.1946,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.27299999999999996,0.13169999999999998,0.604,0.4551,0.331,0.3234,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.5720999999999999,0.14429999999999998,0.6373,0.2547,0.0652,0.1104,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.0383,-0.01999999999999999,0.0574,0.0675,0.0191,0.0875,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.011099999999999999,0.08390000000000003,0.3462,0.4534,0.3573,0.3695,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.001899999999999999,-0.045499999999999985,0.0937,0.1373,0.0956,0.1828,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.048799999999999996,0.09539999999999998,0.1176,0.1432,0.0688,0.0478,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.07580000000000003,0.18139999999999998,0.4262,0.2945,0.3504,0.1131,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.0622,-0.008800000000000002,0.1081,0.0925,0.0459,0.1013,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.3817,0.1563,0.0472,0.2903,0.4289,0.134,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.0373,-0.07830000000000001,0.0433,0.0269,0.006,0.1052,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.033299999999999996,0.07700000000000001,0.1756,0.2691,0.1423,0.1921,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.09429999999999997,0.15960000000000002,0.3329,0.446,0.2386,0.2864,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.014100000000000001,-0.005500000000000005,0.2961,0.359,0.282,0.3645,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.12019999999999997,-0.1989,0.2439,0.2401,0.3641,0.439,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.05089999999999999,0.060200000000000004,0.0906,0.1706,0.1415,0.1104,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.6940000000000001,0.06889999999999999,0.7316,0.2004,0.0376,0.1315,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.03559999999999999,-0.009699999999999986,0.2432,0.3138,0.2788,0.3235,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.0839,0.0874,0.1186,0.1564,0.0347,0.069,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.12290000000000001,0.07540000000000001,0.1378,0.1385,0.0149,0.0631,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.4917,0.1446,0.5242,0.2863,0.0325,0.1417,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.12010000000000001,0.07800000000000001,0.1761,0.1481,0.056,0.0701,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
